TRACK,STRATA
46,1.0 x 0+treatment()+AU(2902011)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
47,1.0 x 0+treatment()+AU(2902011)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
48,1.0 x 0+treatment()+AU(2903001)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
49,1.0 x 0+treatment()+AU(2902005)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
50,1.0 x 0+treatment()+AU(2902005)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
51,1.0 x 0+treatment()+AU(2902005)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
52,1.0 x 0+treatment()+AU(2903004)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
53,1.0 x 0+treatment()+AU(2903004)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
54,1.0 x 0+treatment()+AU(2901000)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
55,1.0 x 0+treatment()+AU(2903001)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
56,1.0 x 0+treatment()+AU(2903001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
57,1.0 x 0+treatment()+AU(2902004)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
58,1.0 x 0+treatment()+AU(2902001)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
59,1.0 x 0+treatment()+AU(2901001)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
60,1.0 x 0+treatment()+AU(2901001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
61,1.0 x 0+treatment()+AU(2903013)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
62,1.0 x 0+treatment()+AU(2903013)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
63,1.0 x 0+treatment()+AU(2903013)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
64,1.0 x 0+treatment()+AU(2901010)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
65,1.0 x 0+treatment()+AU(2902001)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
66,1.0 x 0+treatment()+AU(2902001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
67,1.0 x 0+treatment()+AU(2901003)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
68,1.0 x 0+treatment()+AU(2902014)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
69,1.0 x 0+treatment()+AU(2901017)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
70,1.0 x 0+treatment()+AU(2903003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
71,1.0 x 0+treatment()+AU(2903003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
72,1.0 x 0+treatment()+AU(2903007)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
73,1.0 x 0+treatment()+AU(2903009)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
74,1.0 x 0+treatment()+AU(2903007)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
75,1.0 x 0+treatment()+AU(2903007)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
76,1.0 x 0+treatment()+AU(2901001)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
77,1.0 x 0+treatment()+AU(2903009)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
78,1.0 x 0+treatment()+AU(2903009)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
79,1.0 x 0+treatment()+AU(2902008)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
80,1.0 x 0+treatment()+AU(2901011)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
81,1.0 x 0+treatment()+AU(2901009)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
82,1.0 x 0+treatment()+AU(2902011)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
83,1.0 x 0+treatment()+AU(2902007)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
84,1.0 x 0+treatment()+AU(2902007)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
85,1.0 x 0+treatment()+AU(2901009)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
86,1.0 x 0+treatment()+AU(2901009)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
87,1.0 x 0+treatment()+AU(2902015)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
88,1.0 x 0+treatment()+AU(2902015)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
89,1.0 x 0+treatment()+AU(2902008)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
90,1.0 x 0+treatment()+AU(2901008)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
91,1.0 x 0+treatment()+AU(2901008)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
92,1.0 x 0+treatment()+AU(2903000)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
93,1.0 x 0+treatment()+AU(2902013)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
94,1.0 x 0+treatment()+AU(2903010)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
95,1.0 x 0+treatment()+AU(2903010)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
96,1.0 x 0+treatment()+AU(2903000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
97,1.0 x 0+treatment()+AU(2901003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
98,1.0 x 0+treatment()+AU(2901003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
99,1.0 x 0+treatment()+AU(2901015)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
100,1.0 x 0+treatment()+AU(2903017)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
101,1.0 x 0+treatment()+AU(2902003)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
102,1.0 x 0+treatment()+AU(2903011)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
103,1.0 x 0+treatment()+AU(2901014)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
104,1.0 x 0+treatment()+AU(2901014)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
105,1.0 x 0+treatment()+AU(2901010)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
106,1.0 x 0+treatment()+AU(2901010)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
107,1.0 x 0+treatment()+AU(2901013)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
108,1.0 x 0+treatment()+AU(2901013)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
109,1.0 x 0+treatment()+AU(2901013)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
110,1.0 x 0+treatment()+AU(2902009)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
111,1.0 x 0+treatment()+AU(2901005)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
112,1.0 x 0+treatment()+AU(2901011)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
113,1.0 x 0+treatment()+AU(2901008)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
114,1.0 x 0+treatment()+AU(2902003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
115,1.0 x 0+treatment()+AU(2902003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
116,1.0 x 0+treatment()+AU(2903015)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
117,1.0 x 0+treatment()+AU(2903003)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
118,1.0 x 0+treatment()+AU(2903002)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
119,1.0 x 0+treatment()+AU(2902011)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
120,1.0 x 0+treatment()+AU(2903010)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
121,1.0 x 0+treatment()+AU(2903005)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
122,1.0 x 0+treatment()+AU(2901007)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
123,1.0 x 0+treatment()+AU(2901007)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
124,1.0 x 0+treatment()+AU(2903016)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
125,1.0 x 0+treatment()+AU(2902008)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
126,1.0 x 0+treatment()+AU(2902003)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
127,1.0 x 0+treatment()+AU(2901016)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
128,1.0 x 0+treatment()+AU(2901016)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
129,1.0 x 0+treatment()+AU(2903011)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
130,1.0 x 0+treatment()+AU(2902005)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
131,1.0 x 0+treatment()+AU(2903017)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
132,1.0 x 0+treatment()+AU(2903012)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
133,1.0 x 0+treatment()+AU(2903014)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
134,1.0 x 0+treatment()+AU(2903012)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
135,1.0 x 0+treatment()+AU(2903011)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
136,1.0 x 0+treatment()+AU(2903017)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
137,1.0 x 0+treatment()+AU(2902009)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
138,1.0 x 0+treatment()+AU(2902009)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
139,1.0 x 0+treatment()+AU(2901017)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
140,1.0 x 0+treatment()+AU(2901017)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
141,1.0 x 0+treatment()+AU(2903001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
142,1.0 x 0+treatment()+AU(2903013)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
143,1.0 x 0+treatment()+AU(2902002)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
144,1.0 x 0+treatment()+AU(2902002)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
145,1.0 x 0+treatment()+AU(2903008)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
146,1.0 x 0+treatment()+AU(2902000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
147,1.0 x 0+treatment()+AU(2902016)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
148,1.0 x 0+treatment()+AU(2902016)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
149,1.0 x 0+treatment()+AU(2901008)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
150,1.0 x 0+treatment()+AU(2902012)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
151,1.0 x 0+treatment()+AU(2902006)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
152,1.0 x 0+treatment()+AU(2902006)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
153,1.0 x 0+treatment()+AU(2903008)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
154,1.0 x 0+treatment()+AU(2901012)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
155,1.0 x 0+treatment()+AU(2901012)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
156,1.0 x 0+treatment()+AU(2902012)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
157,1.0 x 0+treatment()+AU(2903017)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
158,1.0 x 0+treatment()+AU(2902012)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
159,1.0 x 0+treatment()+AU(2903016)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
160,1.0 x 0+treatment()+AU(2901006)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
161,1.0 x 0+treatment()+AU(2901006)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
162,1.0 x 0+treatment()+AU(2903006)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
163,1.0 x 0+treatment()+AU(2903015)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
164,1.0 x 0+treatment()+AU(2903012)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
165,1.0 x 0+treatment()+AU(2903014)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
166,1.0 x 0+treatment()+AU(2903016)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
167,1.0 x 0+treatment()+AU(2902012)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
168,1.0 x 0+treatment()+AU(2902017)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
169,1.0 x 0+treatment()+AU(2902016)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
170,1.0 x 0+treatment()+AU(2903006)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
171,1.0 x 0+treatment()+AU(2903006)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
172,1.0 x 0+treatment()+AU(2901015)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
173,1.0 x 0+treatment()+AU(2901002)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
174,1.0 x 0+treatment()+AU(2902013)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
175,1.0 x 0+treatment()+AU(2902017)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
176,1.0 x 0+treatment()+AU(2902017)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
177,1.0 x 0+treatment()+AU(2902017)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
178,1.0 x 0+treatment()+AU(2903008)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
179,1.0 x 0+treatment()+AU(2902014)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
180,1.0 x 0+treatment()+AU(2902014)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
181,1.0 x 0+treatment()+AU(2902002)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
182,1.0 x 0+treatment()+AU(2903014)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
183,1.0 x 0+treatment()+AU(2902007)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
184,1.0 x 0+treatment()+AU(2903011)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
185,1.0 x 0+treatment()+AU(2903007)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
186,1.0 x 0+treatment()+AU(2902008)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
187,1.0 x 0+treatment()+AU(2903015)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
188,1.0 x 0+treatment()+AU(2903004)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
189,1.0 x 0+treatment()+AU(2903003)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
190,1.0 x 0+treatment()+AU(2901017)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
191,1.0 x 0+treatment()+AU(2903012)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0)
192,1.0 x 0+treatment()+AU(2902015)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
193,1.0 x 0+treatment()+AU(2901014)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
194,1.0 x 0+treatment()+AU(2903010)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
195,1.0 x 0+treatment()+AU(2903014)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
196,1.0 x 0+treatment()+AU(2901012)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
197,1.0 x 0+treatment()+AU(2903005)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
198,1.0 x 0+treatment()+AU(2901003)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
199,1.0 x 0+treatment()+AU(2901006)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
200,1.0 x 0+treatment()+AU(2901000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
201,1.0 x 0+treatment()+AU(2901015)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
202,1.0 x 0+treatment()+AU(2902016)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
203,1.0 x 0+treatment()+AU(2901013)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
204,1.0 x 0+treatment()+AU(2902001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0)
